code,name,lecturer,description,ects
PO3171,DEMOCRACY AND DEVELOPMENT B,PO3171,PO3171,0
DE7042,DENTAL ANATOMY  ORAL PHYSIOLOGY,DE7042,DE7042,0
DE1A05,DENTAL HYGIENE ASSESSMENT 1,DE1A05,DE1A05,0
DE2A06,DENTAL HYGIENE ASSESSMENT 2,DE2A06,DE2A06,0
DE2A05,DENTAL HYGIENE ASSESSMENT MODULE 1,DE2A05,DE2A05,0
DE7005,DENTAL MATERIALS,DE7005,DE7005,0
DE7043,DENTAL MATERIALS SCIENCE,DE7043,DE7043,0
DE2A07,DENTAL NURSING ASSESSMENT MODULE 1 YEAR 2,DE2A07,DE2A07,0
DE1A09,DENTAL NURSING ASSESSMENT MODULE 2 YEAR 1,DE1A09,DE1A09,0
DE1A08,DENTAL NURSING ASSESSMENT MODULE YEAR 1,DE1A08,DE1A08,0
DE1N00,DENTAL NURSING COURSE ADMIN YEAR 1,DE1N00,DE1N00,0
DE2N00,DENTAL NURSING COURSE ADMIN YEAR 2,DE2N00,DE2N00,0
DE7041,DENTAL OCCLUSION,DE7041,DE7041,0
DE2004,DENTAL PUBLIC HEALTH,DE2004,DE2004,0
DE4004,DENTAL PUBLIC HEALTH,DE4004,DE4004,0
DE1A01,DENTAL SCIENCE YR 1 ASSESSMENT MODULE 1,DE1A01,DE1A01,0
DE1A02,DENTAL SCIENCE YR 1 ASSESSMENT MODULE 2,DE1A02,DE1A02,0
DE1A03,DENTAL SCIENCE YR 1 ASSESSMENT MODULE 3,DE1A03,DE1A03,0
DE2A01,DENTAL SCIENCE YR 2 ASSESSMENT MODULE 1,DE2A01,DE2A01,0
DE3A01,DENTAL SCIENCE YR 3 ASSESSMENT MODULE 1,DE3A01,DE3A01,0
DE3A02,DENTAL SCIENCE YR 3 ASSESSMENT MODULE 2,DE3A02,DE3A02,0
DE4A01,DENTAL SCIENCE YR 4 ASSESSMENT MODULE 1,DE4A01,DE4A01,0
DE4A02,DENTAL SCIENCE YR 4 ASSESSMENT MODULE 2,DE4A02,DE4A02,0
DE2A52,DENTAL TECH ASSESSMENT 2,DE2A52,DE2A52,0
DE1A52,DENTAL TECH ASSESSMENT 2,DE1A52,DE1A52,0
DE1A53,DENTAL TECH ASSESSMENT 3,DE1A53,DE1A53,0
BU7508,DERIVATIVES,BU7508,BU7508,0
BU4640,DERIVATIVES AND INTERNATIONAL FINANCE,BU4640,BU4640,0
BU464B,DERIVATIVES AND INTERNATIONAL FINANCE,BU464B,BU464B,0
BU464C,DERIVATIVES AND INTERNATIONAL FINANCE,BU464C,BU464C,0
LI7878,DESCRIBING ENGLISH GRAMMAR,LI7878,LI7878,0
LI7856,DESCRIBING GRAMMAR,LI7856,LI7856,0
LI7869,DESCRIBING MEANING,LI7869,LI7869,0
LI7868,DESCRIBING THE SOUNDS OF LANGUAGES,LI7868,LI7868,0
GG3055,DESERTS OF OUR SOLAR SYSTEM,GG3055,GG3055,0
GG305B,DESERTS OF OUR SOLAR SYSTEM,GG305B,GG305B,0
GG3053,DESERTS OF OUR SOLAR SYSTEM,GG3053,GG3053,0
GGU33953,Deserts of our Solar System,GGU33953,GGU33953,0
ST7003,DESIGN AND ANALYSIS OF EXPERIMENTS,ST7003,ST7003,0
CS7095,DESIGN THINKING,CS7095,CS7095,0
ET7234,DESIGNING AND IMPLEMENTING INTERVENTIONS,ET7234,ET7234,0
BD7053,DESK STUDIES,BD7053,BD7053,0
ES4053,DESK STUDY IN APPLIED ENVIRONMENTAL SCIENCES,ES4053,ES4053,0
ZOU33090,DESK STUDY ZOOLOGY  SOCIETY,ZOU33090,ZOU33090,0
ZO3090,DESK STUDY ZOOLOGY SOCIETY,ZO3090,ZO3090,0
NU7101,DETERMINANTS OF HEALTH,NU7101,NU7101,0
CO7001,DETERMINANTS OF HEALTH,CO7001,CO7001,0
GR4038,DEUTSCHLAND IN EUROPA  ES MAJOR READING CLASS,GR4038,GR4038,0
TH7865B,DEVELOPING NEW COMMUNITIES OF FAITH,TH7865B,TH7865B,0
CM8740,DEVELOPING PRESCRIBING MEDICINE FOR SPECIAL POPULATIONS,CM8740,CM8740,0
BU7459,DEVELOPING SKILLS FOR BUSINESS LEADERSHIP,BU7459,BU7459,0
ET7235,DEVELOPING TEAM WORK TO INCLUDE FAMILY CENTRED APPROACHES,ET7235,ET7235,0
EC4041,DEVELOPMENT ECONOMICS,EC4041,EC4041,0
EC404B,DEVELOPMENT ECONOMICS,EC404B,EC404B,0
EC404C,DEVELOPMENT ECONOMICS,EC404C,EC404C,0
EC8019,DEVELOPMENT ECONOMICS SPATIAL DATA AND DEVELOPMENT,EC8019,EC8019,0
ET7925,DEVELOPMENT EDUCATION ELECTIVE,ET7925,ET7925,0
PS3443,DEVELOPMENT OF PERCEPTION THROUGHOUT THE LIFESPAN,PS3443,PS3443,0
PS3A43,DEVELOPMENT OF PERCEPTION THROUGHOUT THE LIFESPAN,PS3A43,PS3A43,0
DP8014,DEVELOPMENT PRACTICE IN POSTCONFLICT FRAGILE SITUATIONS,DP8014,DP8014,0
SO7047,"DEVELOPMENT, COLONIALISM AND INTERVENTION",SO7047,SO7047,0
ZO3050,DEVELOPMENTAL BIOLOGY,ZO3050,ZO3050,0
ZOU33050,DEVELOPMENTAL BIOLOGY,ZOU33050,ZOU33050,0
PS2007,DEVELOPMENTAL PSYCHOLOGY,PS2007,PS2007,0
PS2A07,DEVELOPMENTAL PSYCHOLOGY,PS2A07,PS2A07,0
OTU11009,DEVELOPMENTAL PSYCHOLOGY,OTU11009,OTU11009,0
BI4125,DEVLOPMENTAL BIOLOGY,BI4125,BI4125,0
HI2034,"DEVOTION, DISSIDENCE AND DAMNATION IN THE LATER MIDDLE AGES",HI2034,HI2034,0
XSCH3330,DF PAPER 1  DEAF STUDIES GENERAL PAPER,XSCH3330,XSCH3330,0
XSCH3317,DF PAPER 2  LANGUAGE INTERACTION AND DEVELOPMENT,XSCH3317,XSCH3317,0
XSCH3360,DF Paper 2  Sign Language in Action,XSCH3360,XSCH3360,0
XSCH3241,DF PAPER 3  DEAF PEOPLE AND SOCIETY,XSCH3241,XSCH3241,0
CL3078,DIDACTIC POETRY,CL3078,CL3078,0
CL4078,DIDACTIC POETRY,CL4078,CL4078,0
GR2366,DIE DEUTSCHEN UND IHR WALD EINE KULURGESCHICHTE,GR2366,GR2366,0
GR2372,DIE ERZHLUNGEN VON E T A HOFFMANN,GR2372,GR2372,0
GR2364,DIE FIGUR DES AUSSENSEITERS,GR2364,GR2364,0
GR2359,DIE KUNST DER REVOLUTION EXPRESSIONISMUS UND DADAISMUS,GR2359,GR2359,0
CM3708,DIETETICS ONE,CM3708,CM3708,0
CMU33004,DIETETICS ONE,CMU33004,CMU33004,0
CM3709,DIETETICS TWO,CM3709,CM3709,0
CMU33005,DIETETICS TWO,CMU33005,CMU33005,0
MA34V9,DIFFERENTIAL GEOMETRY,MA34V9,MA34V9,0
MA3429,DIFFERENTIAL GEOMETRY I,MA3429,MA3429,0
BU7278,DIGITAL ANALYTICS,BU7278,BU7278,0
BU7295,DIGITAL ANALYTICS,BU7295,BU7295,0
BU7033,DIGITAL BUSINESS BIG DATA STRATEGY,BU7033,BU7033,0
BU7253,DIGITAL BUSINESS MODELS,BU7253,BU7253,0
BU7253B,DIGITAL BUSINESS MODELS,BU7253B,BU7253B,0
BU7274,DIGITAL BUSINESS MODELS,BU7274,BU7274,0
BU7251,DIGITAL DESIGN AND USER EXPERIENCE,BU7251,BU7251,0
BU7275,DIGITAL DESIGN AND USER EXPERIENCE,BU7275,BU7275,0
EN7079,DIGITAL HUMANITIES INTERNSHIP PROJECT,EN7079,EN7079,0
EN4365,DIGITAL HUMANITIES NOW,EN4365,EN4365,0
MUS189,DIGITAL INSTRUMENT LAB,MUS189,MUS189,0
CS1026,DIGITAL LOGIC DESIGN,CS1026,CS1026,0
CS1023,DIGITAL LOGIC DESIGN I,CS1023,CS1023,0
CS1024,DIGITAL LOGIC DESIGN II,CS1024,CS1024,0
BU7564,DIGITAL MARKETING,BU7564,BU7564,0
BU7250,DIGITAL MARKETING COMMUNICATION,BU7250,BU7250,0
BU7218,DIGITAL MARKETING COMMUNICATION,BU7218,BU7218,0
BU7264,DIGITAL MARKETING COMMUNICATION,BU7264,BU7264,0
BU7252,DIGITAL MARKETING IMPLEMENTATION,BU7252,BU7252,0
BU7276,DIGITAL MARKETING IMPLEMENTATION,BU7276,BU7276,0
BU7258,DIGITAL MARKETING STRATEGY,BU7258,BU7258,0
BU7277,DIGITAL MARKETING STRATEGY PT,BU7277,BU7277,0
FS7037,DIGITAL MEDIA AND CULTURE,FS7037,FS7037,0
ET7804,DIGITAL MEDIA LITERACY AND 21ST CENTURY LEARNING,ET7804,ET7804,0
FS4035,DIGITAL STORYWORLDS,FS4035,FS4035,0
FSS030,DIGITAL STORYWORLDS,FSS030,FSS030,0
FS7031,DIGITAL STORYWORLDS,FS7031,FS7031,0
BU3650,DIGITAL TECHNOLOGY IN OPERATIONS,BU3650,BU3650,0
FS4031,DIGITAL THEORY AND PRACTICE,FS4031,FS4031,0
FSS028,DIGITAL THEORY AND PRACTICE,FSS028,FSS028,0
BU7109,DIPLOMA ACCOUNTING CAREERS,BU7109,BU7109,0
BU7110,DIPLOMA IN ACCOUNTING,BU7110,BU7110,0
CL4030,DIRECTED READING,CL4030,CL4030,0
LR7012,DIRECTING WORKSHOP M4,LR7012,LR7012,0
SS7146,DISABILITY AND DEVELOPMENT,SS7146,SS7146,0
SS8314,DISABILITY AND DEVELOPMENT,SS8314,SS8314,0
SS3384,DISABILITY AND HUMAN RIGHTS GLOBAL PERSPECTIVES,SS3384,SS3384,0
SS4724,DISABILITY AND HUMAN RIGHTS GLOBAL PERSPECTIVES,SS4724,SS4724,0
OT2024,DISABILITY AND INTELLECTUAL DISABILITY STUDIES,OT2024,OT2024,0
OTU22004,DISABILITY AND INTELLECTUAL DISABILITY STUDIES,OTU22004,OTU22004,0
SS7315,DISABILITY PLACEMENTS,SS7315,SS7315,0
SS8315,DISABILITY PLACEMENTS,SS8315,SS8315,0
SS7311,"DISABILITY POLICY, LAW AND ETHICS",SS7311,SS7311,0
SS8311,"DISABILITY POLICY, LAW AND ETHICS",SS8311,SS8311,0
ET5205,DISABILITY RIGHT PRACTICUM,ET5205,ET5205,0
OT4015,DISABILITY STUDIES,OT4015,OT4015,0
OTU44001,DISABILITY STUDIES,OTU44001,OTU44001,0
BI3807,DISEASE AND DEVELOPMENT,BI3807,BI3807,0
BI3330,DISEASE MECHANISMS,BI3330,BI3330,0
BIU33330,DISEASE MECHANISMS,BIU33330,BIU33330,0
CL4040,DISSERTATION,CL4040,CL4040,0
CM7300,DISSERTATION,CM7300,CM7300,0
CM8600,DISSERTATION,CM8600,CM8600,0
CO7000,DISSERTATION,CO7000,CO7000,0
CO8100,DISSERTATION,CO8100,CO8100,0
CP7002,DISSERTATION,CP7002,CP7002,0
EN4371,DISSERTATION,EN4371,EN4371,0
EN7091,DISSERTATION,EN7091,EN7091,0
DETEC304,DISSERTATION,DETEC304,DETEC304,0
DR4034,DISSERTATION,DR4034,DR4034,0
DR7012,DISSERTATION,DR7012,DR7012,0
EC7200,DISSERTATION,EC7200,EC7200,0
EM7000,DISSERTATION,EM7000,EM7000,0
EU4001,DISSERTATION,EU4001,EU4001,0
EU7001,DISSERTATION,EU7001,EU7001,0
FR4060,DISSERTATION,FR4060,FR4060,0
FS4026,DISSERTATION,FS4026,FS4026,0
GG4030,DISSERTATION,GG4030,GG4030,0
GR4019,DISSERTATION,GR4019,GR4019,0
HE4021,DISSERTATION,HE4021,HE4021,0
HI4001,DISSERTATION,HI4001,HI4001,0
HA4050,DISSERTATION,HA4050,HA4050,0
IE4002,DISSERTATION,IE4002,IE4002,0
IR4020,DISSERTATION,IR4020,IR4020,0
IT4091,DISSERTATION,IT4091,IT4091,0
LA3451,DISSERTATION,LA3451,LA3451,0
LI8004,DISSERTATION,LI8004,LI8004,0
ME7B08,DISSERTATION,ME7B08,ME7B08,0
MW4204,DISSERTATION,MW4204,MW4204,0
NM4020,DISSERTATION,NM4020,NM4020,0
NU8007,DISSERTATION,NU8007,NU8007,0
PI8100,DISSERTATION,PI8100,PI8100,0
PO7200,DISSERTATION,PO7200,PO7200,0
PO8200,DISSERTATION,PO8200,PO8200,0
PS7508,DISSERTATION,PS7508,PS7508,0
PS9023,DISSERTATION,PS9023,PS9023,0
RT6007,DISSERTATION,RT6007,RT6007,0
LA7047,DISSERTATION,LA7047,LA7047,0
RUS902,DISSERTATION,RUS902,RUS902,0
SL8001,DISSERTATION,SL8001,SL8001,0
SO7020,DISSERTATION,SO7020,SO7020,0
SP4038,DISSERTATION,SP4038,SP4038,0
TH8840B,DISSERTATION,TH8840B,TH8840B,0
ES7052,DISSERTATION,ES7052,ES7052,0
TH8840,DISSERTATION,TH8840,TH8840,0
CS7CS5,DISSERTATION,CS7CS5,CS7CS5,0
LY7006,DISSERTATION,LY7006,LY7006,0
BU7299,DISSERTATION,BU7299,BU7299,0
BU7560B,DISSERTATION,BU7560B,BU7560B,0
GGU44930,DISSERTATION,GGU44930,GGU44930,0
PR8100,DISSERTATION,PR8100,PR8100,0
PCP17014,DISSERTATION,PCP17014,PCP17014,0
HH4000,DISSERTATION AMHC,HH4000,HH4000,0
SO7300,DISSERTATION COMPARATIVE SOCIAL CHANGE,SO7300,SO7300,0
MUS103,DISSERTATION I,MUS103,MUS103,0
MUS106,DISSERTATION II PART 1,MUS106,MUS106,0
MUS107,DISSERTATION II PART 1,MUS107,MUS107,0
NU8009,DISSERTATION IN NURSING ANP,NU8009,NU8009,0
EN7085,DISSERTATION MPHILIN DIGITAL HUMANITIES AND CULTURE,EN7085,EN7085,0
LY4000,DISSERTATION MODULE,LY4000,LY4000,0
PS8029,DISSERTATION RESEARCH  LITERATURE REVIEW,PS8029,PS8029,0
GR4020,DISSERTATION SEMINAR,GR4020,GR4020,0
FS4049,DISSERTATION WITH PRACTICE,FS4049,FS4049,0
DE5A04,DISSERTATION YEAR 5,DE5A04,DE5A04,0
CS4532,DISTRIBUTED SYSTEMS,CS4532,CS4532,0
CS4032,DISTRIBUTED SYSTEMS,CS4032,CS4032,0
CS7NS6,DISTRIBUTED SYSTEMS,CS7NS6,CS7NS6,0
BOU33125,DIVERSITY OF PLANT MORPHOLOGY,BOU33125,BOU33125,0
DE5A01,DIVISION ONE ASSESSMENT YEAR 5,DE5A01,DE5A01,0
DE5A03,DIVISION THREE ASSESSMENT YEAR 5,DE5A03,DE5A03,0
DE5A02,DIVISION TWO ASSESSMENT YEAR 5,DE5A02,DE5A02,0
DR3499,DOCUMENTARY THEATRE,DR3499,DR3499,0
HI1101,DOING HISTORY,HI1101,HI1101,0
RUS430,DOSTOEVSKY,RUS430,RUS430,0
RUS431,DOSTOEVSKY,RUS431,RUS431,0
XSCH3005,"DR INTRODUCTION TO DRAMA,THEATRE AND PERFORMANCE",XSCH3005,XSCH3005,0
XSCH3097,DR INTRODUCTION TO PERFORMING AND THEATREMAKING SH ONLY,XSCH3097,XSCH3097,0
XSCH3333,DR SH  TSM DRAMA STUDIES GENERAL PAPER,XSCH3333,XSCH3333,0
XSCH3334,DR SH DRAMA  THEATRE STUDIES GENERAL PAPER,XSCH3334,XSCH3334,0
ET7205,DRAMA AND THEATRE IN EDUCATION,ET7205,ET7205,0
ET7927,DRAMA IN EDUCATION,ET7927,ET7927,0
FS4025,"DRAMA, FILM AND MUSIC PROJECT",FS4025,FS4025,0
LR7002,Dramaturgy,LR7002,LR7002,0
PS7108,"DREAMS, DREAMING  SYMBOLIC LIFE",PS7108,PS7108,0
PG7102,DRUG DEVELOPMENT DDV,PG7102,PG7102,0
SU7011,DRUG DEVELOPMENT PROCESS FROM DISCOVERY TO COMMERCIALISATION,SU7011,SU7011,0
PM7017,"DRUG SAFETY PHARMACOEPIDEMIOLOGY, PHARMACOVIGILANCE AND RISK MANAGEMENT",PM7017,PM7017,0
PY3P06,DYNAMICAL SYSTEMS,PY3P06,PY3P06,0
PYU33P06,DYNAMICAL SYSTEMS,PYU33P06,PYU33P06,0
SLU33002,DYNAMICS OF DISCOURSE,SLU33002,SLU33002,0
EM7451,DYNAMICS OF RECONCILIATION,EM7451,EM7451,0
CS3101,EBUSINESS,CS3101,CS3101,0
CS3BC1,eBUSINESS I,CS3BC1,CS3BC1,0
CS3BC2,eBUSINESS II,CS3BC2,CS3BC2,0
BU7224,ECOMMERCE,BU7224,BU7224,0
BU7261,ECOMMERCE,BU7261,BU7261,0
BU7293,ECOMMERCE,BU7293,BU7293,0
CE7E01,E1 HYDROLOGICAL PROCESSES AND HYDROMETRY,CE7E01,CE7E01,0
CE7E03,E3 AIR POLLUTION,CE7E03,CE7E03,0
CE7E04,E4 WASTE MANAGEMENT AND ENERGY RECOVERY,CE7E04,CE7E04,0
CE7E05,E5 WATER QUALITY AND HYDROLOGICAL MODELLING,CE7E05,CE7E05,0
CE7E06,E6 WATER RESOURCE PLANNING AND CLIMATE CHANGE,CE7E06,CE7E06,0
CE7E07,E7 SUSTAINABLE WATER SUPPLY AND SANITATION,CE7E07,CE7E07,0
LI7892,EARLY 20TH CENTURY CHINESE HISTORY,LI7892,LI7892,0
HI1217,EARLY CHRISTIAN IRELAND C4001000,HI1217,HI1217,0
EN1024,EARLY ENGLISH LANGUAGE,EN1024,EN1024,0
ET7233,"EARLY IDENTIFICATION, SCREENING AND ASSESSMENT",ET7233,ET7233,0
IR4004,EARLY IRISH LAW,IR4004,IR4004,0
IR2007,EARLY IRISH POETRY II,IR2007,IR2007,0
IR3404,EARLY IRISH POETRY TEXTS,IR3404,IR3404,0
IR4304,EARLY IRISH POETRY TEXTS II,IR4304,IR4304,0
IR2001,EARLY IRISH PROSE II,IR2001,IR2001,0
IR2005,EARLY IRISH SAGAS II,IR2005,IR2005,0
CL3082,EARLY LATIN,CL3082,CL3082,0
CL4082,EARLY LATIN,CL4082,CL4082,0
CL3627,EARLY LATIN VS,CL3627,CL3627,0
FR2031,EARLY MODERN FRENCH LITERATURE,FR2031,FR2031,0
PI4050,EARLY MODERN PHILOSOPHY OF LANGUAGE,PI4050,PI4050,0
PI4150,EARLY MODERN PHILOSOPHY OF LANGUAGE,PI4150,PI4150,0
PI8008,EARLY MODERN PHILOSOPHY OF LANGUAGE,PI8008,PI8008,0
HA4019,EARLY MODERN PORTRAITURE 1,HA4019,HA4019,0
HA4020,EARLY MODERN PORTRAITURE 2,HA4020,HA4020,0
EN4374,EARLY MODERN WOMEN WRITERS,EN4374,EN4374,0
EN4476,"EARLY MODERN WOMEN WRITERS MOTHERS, QUEENS, PROPHETS, REBELS, SERVANTS, SISTERS, WIVES",EN4476,EN4476,0
MUS169,EARLY VOCAL ENSEMBLE MUSIC CONTEXT PERFORMANCE,MUS169,MUS169,0
GL4421,EARTH SCIENCES SOPHISTER FIELD COURSE,GL4421,GL4421,0
GL4420,EARTH SCIENCES SOPHISTER RESEARCH PROJECT,GL4420,GL4420,0
GLU44920,EARTH SCIENCES SOPHISTER RESEARCH PROJECT,GLU44920,GLU44920,0
ES7055,EARTH SYSTEM SCIENCE PART I  DEEP TIME,ES7055,ES7055,0
XSCH3009,EC ECONOMICS 1,XSCH3009,XSCH3009,0
XSCH3010,EC ECONOMICS 2,XSCH3010,XSCH3010,0
XSCH3011,EC QUANTITATIVE METHODS,XSCH3011,XSCH3011,0
IR3405,ECCLESIASTICAL PROSE TEXTS,IR3405,IR3405,0
IR4305,ECCLESIASTICAL PROSE TEXTS II,IR4305,IR4305,0
LY3002,ECCLESIOLOGY UNITY AND DIVERSITY IN CATHOLIC CHRISTIANITY,LY3002,LY3002,0
EC3090,ECONOMETRICS,EC3090,EC3090,0
EC309B,ECONOMETRICS,EC309B,EC309B,0
EC309C,ECONOMETRICS,EC309C,EC309C,0
EC7003,ECONOMETRICS  I,EC7003,EC7003,0
EC3190,ECONOMETRICS A,EC3190,EC3190,0
EC3191,ECONOMETRICS B,EC3191,EC3191,0
EC4140,ECONOMETRICS II,EC4140,EC4140,0
EC7004,ECONOMETRICS II,EC7004,EC7004,0
EC3010,ECONOMIC ANALYSIS,EC3010,EC3010,0
EC301B,ECONOMIC ANALYSIS,EC301B,EC301B,0
EC301C,ECONOMIC ANALYSIS,EC301C,EC301C,0
EC3110,ECONOMIC ANALYSIS A,EC3110,EC3110,0
EC3111,ECONOMIC ANALYSIS B,EC3111,EC3111,0
EC4120,ECONOMIC AND LEGAL ASPECTS OF COMPETITION POLICY,EC4120,EC4120,0
LA3452,ECONOMIC AND LEGAL ASPECTS OF COMPETITION POLICY,LA3452,LA3452,0
EC412B,ECONOMIC AND LEGAL ASPECTS OF COMPETITION POLICY,EC412B,EC412B,0
DP7003,ECONOMIC AND POLICY ANALYSIS,DP7003,DP7003,0
DP7019,ECONOMIC AND POLICY ANALYSIS I,DP7019,DP7019,0
DP7004,ECONOMIC AND POLICY ANALYSIS II,DP7004,DP7004,0
DP7020,ECONOMIC AND POLICY ANALYSIS II,DP7020,DP7020,0
BO3124,ECONOMIC BOTANY,BO3124,BO3124,0
BOU33124,ECONOMIC BOTANY,BOU33124,BOU33124,0
GL4419,ECONOMIC GEOLOGY,GL4419,GL4419,0
GLU44919,ECONOMIC GEOLOGY,GLU44919,GLU44919,0
SOUCD3,ECONOMIC GLOBALISATION AND SOCIAL CHANGE,SOUCD3,SOUCD3,0
BU4630,ECONOMIC POLICY AND BUSINESS HISTORY,BU4630,BU4630,0
BU463B,ECONOMIC POLICY AND BUSINESS HISTORY,BU463B,BU463B,0
SO423B,ECONOMIC SOCIOLOGY OF EUROPE,SO423B,SO423B,0
EC4010,ECONOMIC THEORY,EC4010,EC4010,0
EC401B,ECONOMIC THEORY,EC401B,EC401B,0
EC401C,ECONOMIC THEORY,EC401C,EC401C,0
AP1004,ECONOMICS,AP1004,AP1004,0
EC4130,ECONOMICS DISSERTATION,EC4130,EC4130,0
BU7019,ECONOMICS FOR A GLOBAL MARKET,BU7019,BU7019,0
BU7062,ECONOMICS FOR A GLOBAL MARKET,BU7062,BU7062,0
BU7541,ECONOMICS FOR GLOBAL MARKETS,BU7541,BU7541,0
BU1520,ECONOMICS FOR MANAGEMENT,BU1520,BU1520,0
EC4051,ECONOMICS OF FINANCIAL  MARKETS,EC4051,EC4051,0
EC405B,ECONOMICS OF FINANCIAL  MARKETS,EC405B,EC405B,0
EC405C,ECONOMICS OF FINANCIAL  MARKETS,EC405C,EC405C,0
EC3140,ECONOMICS OF LESS DEVELOPED COUNTRIED A,EC3140,EC3140,0
EC3040,ECONOMICS OF LESS DEVELOPED COUNTRIES,EC3040,EC3040,0
EC304B,ECONOMICS OF LESS DEVELOPED COUNTRIES,EC304B,EC304B,0
EC304C,ECONOMICS OF LESS DEVELOPED COUNTRIES,EC304C,EC304C,0
EC3141,ECONOMICS OF LESS DEVELOPED COUNTRIES B,EC3141,EC3141,0
EC3060,ECONOMICS OF POLICY ISSUES,EC3060,EC3060,0
EC306B,ECONOMICS OF POLICY ISSUES,EC306B,EC306B,0
EC306C,ECONOMICS OF POLICY ISSUES,EC306C,EC306C,0
EC3160,ECONOMICS OF POLICY ISSUES A,EC3160,EC3160,0
EC3161,ECONOMICS OF POLICY ISSUES B,EC3161,EC3161,0
DP8015,ECONOMICS OF SUSTAINABLE DEVELOPMENT,DP8015,DP8015,0
EC2020,ECONOMY OF IRELAND,EC2020,EC2020,0
EC202B,ECONOMY OF IRELAND,EC202B,EC202B,0
EC2120,ECONOMY OF IRELAND A,EC2120,EC2120,0
EC2121,ECONOMY OF IRELAND B,EC2121,EC2121,0
BY2206,ECOSYSTEM BIOLOGY AND GLOBAL CHANGE,BY2206,BY2206,0
BYU22006,ECOSYSTEM BIOLOGY AND GLOBAL CHANGE,BYU22006,BYU22006,0
PH4003,"ECTOPARASITICIDES, NATURAL REMEDIES  COMPLEMENTARY MEDICINE",PH4003,PH4003,0
DE7044,EDENTULOUS STATE,DE7044,DE7044,0
FSS012,Editing,FSS012,FSS012,0
FS7014,EDITING MPHIL,FS7014,FS7014,0
ET7100,EDUCATIONAL  SOCIAL POLICY,ET7100,ET7100,0
MS1015,EDUCATIONAL GUIDANCE,MS1015,MS1015,0
YA1008,EDUCATIONAL GUIDANCE,YA1008,YA1008,0
ET3009,EDUCATIONAL PHILOSOPHY AND THEORY,ET3009,ET3009,0
ET4030,EDUCATIONAL PHILOSOPHY AND THEORY,ET4030,ET4030,0
ET8926,EDUCATIONAL PHILOSOPHY AND THEORY,ET8926,ET8926,0
ET7095,EDUCATIONAL PSYCHOLOGY,ET7095,ET7095,0
ET7197,EDUCATIONAL PSYCHOLOGY FOR GUIDANCE COUNSELLORS,ET7197,ET7197,0
CEDEE3,EE PROJECTS,CEDEE3,CEDEE3,0
XSCH3103,"EE ENGINEERING SCIENCE III GEN ELECTN, ELEC,  INSTRUMENTATION",XSCH3103,XSCH3103,0
MD4009,ELECTIVE PRACTICE 2,MD4009,MD4009,0
MDU44007,Elective Practice 2,MDU44007,MDU44007,0
MD5007,ELECTIVE PRACTICE 3,MD5007,MD5007,0
MDU55004,Elective Practice 3,MDU55004,MDU55004,0
PY7002,ELECTRICAL POWER GENERATION AND DISTRIBUTION,PY7002,PY7002,0
EEMT02,ELECTROACOUSTIC COMPOSITION 1,EEMT02,EEMT02,0
EEMT11,ELECTROACOUSTIC COMPOSITION 2,EEMT11,EEMT11,0
PY3P02,ELECTROMAGNETIC INTERACTIONS I,PY3P02,PY3P02,0
PYU33P02,ELECTROMAGNETIC INTERACTIONS I,PYU33P02,PYU33P02,0
PY4P05,ELECTROMAGNETIC INTERACTIONS II,PY4P05,PY4P05,0
PYU44P05,ELECTROMAGNETIC INTERACTIONS II,PYU44P05,PYU44P05,0
PY4T02,ELECTRON AND PHOTON PHYSICS,PY4T02,PY4T02,0
PY5001,ELECTRONIC STRUCTURE,PY5001,PY5001,0
CS1025,ELECTROTECHNOLOGY,CS1025,CS1025,0
CL1251,ELEMENTARY GREEK I,CL1251,CL1251,0
CL1252,ELEMENTARY GREEK II,CL1252,CL1252,0
CL1271,ELEMENTARY LATIN I,CL1271,CL1271,0
CL1272,ELEMENTARY LATIN II,CL1272,CL1272,0
MA342P,ELLIPTIC CURVES,MA342P,MA342P,0
CS7004,EMBEDDED SYSTEMS,CS7004,CS7004,0
DR7030,EMBODIED PRACTICES  APPLIED PERFORMANCE PROJECT,DR7030,DR7030,0
ET7251,EMBODYING LANGUAGE,ET7251,ET7251,0
ET5109,EMERGENCY AND DISASTER MANAGEMENT,ET5109,ET5109,0
BU7254,EMERGING TRENDS IN DIGITAL TECHNOLOGIES,BU7254,BU7254,0
BU7223,EMERGING TRENDS IN DIGITAL TECHNOLOGIES,BU7223,BU7223,0
LA3430,EMPLOYMENT LAW,LA3430,LA3430,0
XSCH3109,"EN ENGLISH, PAPER 1  GENERAL PAPER SINGLE HONOR",XSCH3109,XSCH3109,0
XSCH3105,"EN ENGLISH, PAPER 1  GENERAL PAPER TSM ONLY",XSCH3105,XSCH3105,0
XSCH3106,"EN ENGLISH, PAPER 2",XSCH3106,XSCH3106,0
XSCH3107,"EN ENGLISH, PAPER 3",XSCH3107,XSCH3107,0
XSCH3108,"EN ENGLISH, PAPER 4",XSCH3108,XSCH3108,0
PH3109,ENDOCRINE  REPRODUCTIVE PHARMACOLOGY AND CLINICAL THERAPEUTICS,PH3109,PH3109,0
PHU33109,Endocrine  Reproductive Pharmacology and Clinical Therapeutics,PHU33109,PHU33109,0
PH3009,ENDOCRINE  REPRODUCTIVE PHARMACOLOGY AND VETERINARY PHARMACY,PH3009,PH3009,0
CH7504,ENDOCRINOLOGY  INBORN ERRORS OF METABOLISM,CH7504,CH7504,0
