code,name,lecturer,description,ects
CEU22E09,2E9 ENGINEERING DESIGN III PROJECT,CEU22E09,CEU22E09,0
ME2M10,2MEMS10 MANUFACTURING ENGINEERING DESIGN,ME2M10,ME2M10,0
MEU22M10,2MEMS10 MANUFACTURING ENGINEERING DESIGN,MEU22M10,MEU22M10,0
ME2M02,2MEMS2 FINANCE,ME2M02,ME2M02,0
MEU22EM2,2MEMS2 FINANCE,MEU22EM2,MEU22EM2,0
ME2M03,2MEMS3 DESIGN I,ME2M03,ME2M03,0
MEU22EM3,2MEMS3 DESIGN I,MEU22EM3,MEU22EM3,0
ME2M04,2MEMS4 MATERIALS,ME2M04,ME2M04,0
CE3A1,3A1 ENGINEERING SURVEYING,CE3A1,CE3A1,0
CEU33A01,3A1 ENGINEERING SURVEYING,CEU33A01,CEU33A01,0
CE3A2,3A2 STRUCTURAL DESIGN,CE3A2,CE3A2,0
CEU33A02,3A2 STRUCTURAL DESIGN,CEU33A02,CEU33A02,0
CE3A3,3A3 HYDRAULICS,CE3A3,CE3A3,0
CEU33A03,3A3 HYDRAULICS,CEU33A03,CEU33A03,0
CE3A4,3A4 STRUCTURAL ANALYSIS,CE3A4,CE3A4,0
CEU33A04,3A4 STRUCTURAL ANALYSIS,CEU33A04,CEU33A04,0
CE3A5,3A5 SOIL MECHANICS,CE3A5,CE3A5,0
CEU33A05,3A5 SOIL MECHANICS,CEU33A05,CEU33A05,0
CE3A7,3A7 TRANSPORTATION AND HIGHWAY ENGINEERING,CE3A7,CE3A7,0
CEU33A07,3A7 TRANSPORTATION AND HIGHWAY ENGINEERING,CEU33A07,CEU33A07,0
CE3A8,3A8 GEOLOGY FOR ENGINEERS,CE3A8,CE3A8,0
CEU33A08,3A8 GEOLOGY FOR ENGINEERS,CEU33A08,CEU33A08,0
CE3A9,3A9 GROUP DESIGN PROJECT,CE3A9,CE3A9,0
CEU33A09,3A9 GROUP DESIGN PROJECT,CEU33A09,CEU33A09,0
ME3B1,3B1 THERMODYNAMICS,ME3B1,ME3B1,0
MEU33B01,3B1 THERMODYNAMICS,MEU33B01,MEU33B01,0
MEU33B02,3B2 FLUID MECHANICS,MEU33B02,MEU33B02,0
ME3B2,3B2 FLUID MECHANICS 1,ME3B2,ME3B2,0
ME3B3,3B3 MECHANICS OF SOLIDS,ME3B3,ME3B3,0
MEU33B03,3B3 MECHANICS OF SOLIDS,MEU33B03,MEU33B03,0
ME3B4,3B4 MECHANICAL ENGINEERING MATERIALS,ME3B4,ME3B4,0
MEU33B04,3B4 MECHANICAL ENGINEERING MATERIALS,MEU33B04,MEU33B04,0
ME3B5,3B5 MECHANICS OF MACHINES,ME3B5,ME3B5,0
MEU33B05,3B5 MECHANICS OF MACHINES,MEU33B05,MEU33B05,0
ME3B7,3B7 MANUFACTURING TECHNOLOGY AND SYSTEMS,ME3B7,ME3B7,0
MEU33B07,3B7 MANUFACTURING TECHNOLOGY AND SYSTEMS,MEU33B07,MEU33B07,0
ME3B8,3B8 UNIVERSAL DESIGN INNOVATION,ME3B8,ME3B8,0
MEU33B08,3B8 UNIVERSAL DESIGN INNOVATION,MEU33B08,MEU33B08,0
EE3BIO1,3BIO1 ANATOMY  PHYSIOLOGY,EE3BIO1,EE3BIO1,0
EEU33BM1,3BIO1 ANATOMY AND PHYSIOLOGY,EEU33BM1,EEU33BM1,0
ME3BIO2,3BIO2 BIOMEDICAL DESIGN PROJECT,ME3BIO2,ME3BIO2,0
MEU33BM2,3BIO2 BIOMEDICAL DESIGN PROJECT,MEU33BM2,MEU33BM2,0
ME3BIO3,3BIO3 PROBABILITY AND STATISTICS,ME3BIO3,ME3BIO3,0
EE3BIO3,3BIO3 QUANTITATIVE PHYSIOLOGY,EE3BIO3,EE3BIO3,0
EE3C01,3C1 SIGNALS AND SYSTEMS,EE3C01,EE3C01,0
EEU33C01,3C1 SIGNALS AND SYSTEMS,EEU33C01,EEU33C01,0
EE3C02,3C2 DIGITAL CIRCUITS,EE3C02,EE3C02,0
EEU33C02,3C2 DIGITAL CIRCUITS,EEU33C02,EEU33C02,0
EE3C03,3C3 ANALOGUE CIRCUITS,EE3C03,EE3C03,0
EEU33C03,3C3 ANALOGUE CIRCUITS,EEU33C03,EEU33C03,0
EE3C05,3C5 TELECOMMUNICATIONS,EE3C05,EE3C05,0
EEU33C05,3C5 TELECOMMUNICATIONS,EEU33C05,EEU33C05,0
EE3C6A,3C6A ELECTRONIC ENGINEERING PROJECTS,EE3C6A,EE3C6A,0
EE3C6B,3C6B ELECTRONIC ENGINEERING PROJECTS,EE3C6B,EE3C6B,0
EE3C07,3C7 DIGITAL SYSTEMS DESIGN,EE3C07,EE3C07,0
EEU33C07,3C7 DIGITAL SYSTEMS DESIGN,EEU33C07,EEU33C07,0
EE3C08,3C8 DIGITAL CIRCUITS DESIGN,EE3C08,EE3C08,0
EEU33C08,3C8 DIGITAL CIRCUITS DESIGN,EEU33C08,EEU33C08,0
EE3C09,3C9 ANALOGUE CIRCUITS DESIGN,EE3C09,EE3C09,0
EEU33C09,3C9 ANALOGUE CIRCUITS DESIGN,EEU33C09,EEU33C09,0
CS3D1,3D1372 MICROPROCESSOR SYSTEMS 1,CS3D1,CS3D1,0
